CODIGO_INTERNO;COD_FABRICANTE;NOME_FANTASIA;PRODUTO;QTDE_EMB;UNIDADE_MEDIDA;QTDE_SPNORTE;PRECO_SPNORTE;QTDE_ABC;PRECO_ABC;QTDE_SPLESTE;PRECO_SPLESTE
10044000065;MDCV002;MIDE PARTS;CARCACA VALVULA TERMOSTATICA;1;PC;B;30,44;B;30,44;B;30,44
10044000076;MDTA002;MIDE PARTS;TUBO D´AGUA;1;PC;B;17,22;B;17,22;;0
10044000392;MDFM002;MIDE PARTS;FLANGE CONECTOR MANGUEIRA AQUECEDOR;1;PC;B;49,24;B;49,24;B;49,24
10057000176;MDBI001;MIDE PARTS;BICO VALVULA INJETOR;1;PC;B;54,25;B;54,25;B;54,25
10057000192;MDBI017;MIDE PARTS;BICO VALVULA INJETOR;1;PC;B;61,57;B;61,57;B;61,57
10057000201;MDBI026;MIDE PARTS;BICO VALVULA INJETOR;1;PC;B;127,73;B;127,73;B;127,73
10057000224;MDCM018;MIDE PARTS;"CONECTOR ADAPTADOR  5/16"" X 5/16"" 90°";1;PC;B;8,57;B;8,57;B;8,57
10057000238;MDFB004;MIDE PARTS;FLAUTA DO BICO INJETOR;1;PC;A;159,5;A;159,5;A;159,5
10057000260;MDPF007;MIDE PARTS;PRE-FILTRO BOMBA DE COMBUSTIVEL;1;PC;B;19,07;B;19,07;B;19,07
10057000261;MDPF008;MIDE PARTS;PRE-FILTRO BOMBA DE COMBUSTIVEL;1;PC;B;96,48;B;96,48;B;96,48
10057000267;MDPF014;MIDE PARTS;PRE-FILTRO BOMBA DE COMBUSTIVEL;1;PC;B;32,26;B;32,26;B;32,26
10057000286;MDRB012;MIDE PARTS;ANEL REPARO SUP BICO INJETOR 20PCS;1;PA;B;14,7;B;14,7;B;14,7
10082000086;MDVA001;MIDE PARTS;VALVULA ANTICHAMA SEPARADOR OLEO;1;PC;B;22,2;B;22,2;;0
10082000090;MDVA005;MIDE PARTS;VALVULA ANTICHAMA SEPARADOR OLEO;1;PC;A;20,18;A;20,18;A;20,18
10091000099;MDPO003;MIDE PARTS;POLIA CORREIA POLY-V;1;PC;B;29,51;B;29,51;B;29,51
10091000104;MDPO008;MIDE PARTS;POLIA CORREIA POLY-V;1;PC;B;31,56;A;31,56;B;31,56
10091000106;MDPO010;MIDE PARTS;POLIA CORREIA POLY-V;1;PC;B;36,9;B;36,9;B;36,9
10091000107;MDPO011;MIDE PARTS;POLIA CORREIA POLY-V;1;PC;B;39,87;B;39,87;B;39,87
10091000112;MDPO016;MIDE PARTS;POLIA CORREIA POLY-V;1;PC;B;32,64;B;32,64;B;32,64
10091000129;MDPO033;MIDE PARTS;POLIA CORREIA POLY-V;1;PC;B;50,38;B;50,38;B;50,38
10091000130;MDPO034;MIDE PARTS;POLIA CORREIA POLY-V;1;PC;B;53,48;A;53,48;B;53,48
