,Price,Price,Price,Price,Price,Price,Price,Price,Price,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,sum_min_quantity
supplier,carbwel,ima,jahu,lucios,medauto,metal,real,rufato,sueyasu,carbwel,ima,jahu,lucios,medauto,metal,real,rufato,sueyasu,
key,,,,,,,,,,,,,,,,,,,
0,,,,,,9.35,,7.92,,,,,,,0.0,,1.0,,1.0
3rho310,40.83,,,36.05,,,,,35.71,0.0,,,56.0,,,,,0.0,0.0
3rho318,,,,58.48,,,,,56.13,,,,7.0,,,,,0.0,0.0
3rho319,62.13,,,41.9,,,,,40.23,0.0,,,8.0,,,,,0.0,0.0
3rho322,126.5,,,,,,,,81.29,0.0,,,,,,,,0.0,0.0
3rho323,106.28,,,,,,,,76.81,0.0,,,,,,,,0.0,0.0
3rho324,86.45,,,,,,,,72.67,0.0,,,,,,,,0.0,0.0
3rho330,,,,34.48,,,,,33.62,,,,22.0,,,,,0.0,0.0
3rho3300,30.12,,,30.81,,,,,,0.0,,,1.0,,,,,,0.0
3rho3303,,,,45.05,,,,,43.26,,,,27.0,,,,,0.0,0.0
3rho3306,,,,,91.94,,,,74.0,,,,,0.0,,,,0.0,0.0
3rho3307,73.01,,,,51.47,,,,45.31,0.0,,,,0.0,,,,0.0,0.0
3rho3308,104.59,,,79.41,,,,,77.42,0.0,,,3.0,,,,,0.0,0.0
3rho3315,60.06,,,38.61,,,,,37.66,0.0,,,15.0,,,,,0.0,0.0
3rho3316,123.93,,,77.44,115.06,,,,75.5,0.0,,,20.0,0.0,,,,0.0,0.0
3rho3321,48.32,,,33.18,,,,,,0.0,,,11.0,,,,,,11.0
3rho3322,,,,30.37,,,,,25.36,,,,3.0,,,,,0.0,0.0
3rho3324,45.15,,,30.57,,,,,25.53,0.0,,,15.0,,,,,0.0,0.0
3rho3328,,,,37.9,,,,,35.68,,,,2.0,,,,,0.0,0.0
3rho3334,42.63,,,33.89,,,,,33.05,0.0,,,48.0,,,,,0.0,0.0
3rho3335,,,,32.36,,,,,31.07,,,,4.0,,,,,0.0,0.0
3rho334,80.02,,,64.94,,,,,62.35,0.0,,,3.0,,,,,0.0,0.0
3rho3342,,,,43.08,,,,,40.55,,,,1.0,,,,,0.0,0.0
3rho3343,,,,,50.36,,,,40.55,,,,,0.0,,,,0.0,0.0
3rho3344,39.96,,,32.3,,,,,27.39,0.0,,,2.0,,,,,0.0,0.0
3rho3345,47.62,,,31.55,,,,,30.76,0.0,,,15.0,,,,,0.0,0.0
3rho3346,47.33,,,30.26,,,,,29.75,0.0,,,286.0,,,,,0.0,0.0
3rho335,123.28,,,91.94,,,,,91.79,0.0,,,2.0,,,,,0.0,0.0
3rho3351,48.96,,,36.98,,,,,36.06,0.0,,,78.0,,,,,0.0,0.0
3rho3352,55.21,,,36.66,,,,,35.74,0.0,,,11.0,,,,,0.0,0.0
3rho3357,43.17,,,33.4,,,,,28.33,0.0,,,14.0,,,,,0.0,0.0
3rho3358,66.01,,,,,,,,45.84,0.0,,,,,,,,0.0,0.0
3rho336,54.58,,,,,,,,42.85,0.0,,,,,,,,0.0,0.0
3rho3360,68.35,,,42.39,,,,,40.68,0.0,,,5.0,,,,,0.0,0.0
3rho3361,,,,33.24,,,,,28.2,,,,5.0,,,,,0.0,0.0
3rho3365,87.88,,,,,,,,64.55,0.0,,,,,,,,0.0,0.0
3rho3369,52.4,,,31.16,,,,,30.62,0.0,,,102.0,,,,,0.0,0.0
3rho3370,39.74,,,32.63,,,,,32.06,0.0,,,40.0,,,,,0.0,0.0
3rho3371,,,,32.67,,,,,31.35,,,,16.0,,,,,0.0,0.0
3rho3372,52.0,,,30.52,,,,,30.23,0.0,,,134.0,,,,,0.0,0.0
3rho3373,26.18,,,31.49,,,,,30.23,0.0,,,15.0,,,,,0.0,0.0
3rho3374,48.15,,,30.76,,,,,30.23,0.0,,,183.0,,,,,0.0,0.0
3rho3375,84.09,,,56.55,,,,,55.14,0.0,,,11.0,,,,,0.0,0.0
3rho3376,64.54,,,43.5,,,,,41.75,0.0,,,23.0,,,,,0.0,0.0
3rho3378,42.81,,,30.6,,,,,29.38,0.0,,,3.0,,,,,0.0,0.0
3rho3379,35.75,,,33.0,,,,,,0.0,,,1.0,,,,,,1.0
3rho3380,45.82,,,30.65,,,,,29.43,0.0,,,17.0,,,,,0.0,0.0
3rho3381,26.15,,,30.65,,,,,25.59,0.0,,,9.0,,,,,0.0,0.0
3rho3382,71.91,,,57.44,,,,,55.14,0.0,,,17.0,,,,,0.0,0.0
3rho3383,76.48,,,56.48,,,,,54.21,0.0,,,10.0,,,,,0.0,0.0
3rho3384,47.9,,,30.65,,,,,29.43,0.0,,,20.0,,,,,0.0,0.0
3rho3385,57.36,,,39.82,,,,,38.23,0.0,,,3.0,,,,,0.0,0.0
3rho3387,56.46,,,33.15,,,,,32.58,0.0,,,102.0,,,,,0.0,0.0
3rho3389,68.8,,,44.0,,,,,42.25,0.0,,,2.0,,,,,0.0,0.0
3rho3396,56.61,,,44.0,,,,,42.25,0.0,,,45.0,,,,,0.0,0.0
3rho3397,19.43,,,33.71,,,,,,0.0,,,11.0,,,,,,0.0
