COD COMPEL;COD FABRICA;QTDE EMBALAGEM;UNIDADE MEDIDA;DISPONIBILIDADE;PREÇO;FABRICANTE
110192;D0303;2;Pc;A;27,25;TENNECO AUTOMOTIVE BRASIL LTDA.
110203;D0305;2;Pc;B;63,86;TENNECO AUTOMOTIVE BRASIL LTDA.
110211;D0306;2;Pc;A;40,26;TENNECO AUTOMOTIVE BRASIL LTDA.
110254;D0309;2;Pc;B;27,66;TENNECO AUTOMOTIVE BRASIL LTDA.
110307;110307;2;Pc;A;19,84;TENNECO AUTOMOTIVE BRASIL LTDA.
110376;110376;2;Pc;B;20,21;TENNECO AUTOMOTIVE BRASIL LTDA.
110377;110377;2;Pc;B;16,56;TENNECO AUTOMOTIVE BRASIL LTDA.
110428;110428;2;Pc;B;16,33;TENNECO AUTOMOTIVE BRASIL LTDA.
110435;0442614;2;Pc;A;6,37;TENNECO AUTOMOTIVE BRASIL LTDA.
110438;0441659;2;Pc;B;10,61;TENNECO AUTOMOTIVE BRASIL LTDA.
110450;0442521;2;Pc;B;14,54;TENNECO AUTOMOTIVE BRASIL LTDA.
110495;0410338;2;Pc;B;20,07;TENNECO AUTOMOTIVE BRASIL LTDA.
110502;110502;2;Pc;C;13,67;TENNECO AUTOMOTIVE BRASIL LTDA.
110510;110510;2;Pc;B;54,91;TENNECO AUTOMOTIVE BRASIL LTDA.
110511;110511;2;Pc;B;49,74;TENNECO AUTOMOTIVE BRASIL LTDA.
110533;110533;2;Pc;Indisponível;103,47;TENNECO AUTOMOTIVE BRASIL LTDA.
110535;110535;2;Pc;Indisponível;17,64;TENNECO AUTOMOTIVE BRASIL LTDA.
110540;110540;2;Pc;Indisponível;15,18;TENNECO AUTOMOTIVE BRASIL LTDA.
110541;110541;2;Pc;Indisponível;20,81;TENNECO AUTOMOTIVE BRASIL LTDA.
110542;110542;2;Pc;Indisponível;14,43;TENNECO AUTOMOTIVE BRASIL LTDA.
110544;110544;2;Pc;Indisponível;17,64;TENNECO AUTOMOTIVE BRASIL LTDA.
110589;110589;2;Pc;Indisponível;33,14;TENNECO AUTOMOTIVE BRASIL LTDA.
110603;110603;2;Pc;Indisponível;49,73;TENNECO AUTOMOTIVE BRASIL LTDA.
110618;110618;2;Pc;A;17,64;TENNECO AUTOMOTIVE BRASIL LTDA.
110624;110624;2;Pc;Indisponível;52,56;TENNECO AUTOMOTIVE BRASIL LTDA.
110642;110642;2;Pc;A;86,63;TENNECO AUTOMOTIVE BRASIL LTDA.
110671;110671;2;Pc;A;71,46;TENNECO AUTOMOTIVE BRASIL LTDA.
110690;110690;2;Pc;B;17,1;TENNECO AUTOMOTIVE BRASIL LTDA.
110730;110730;2;Pc;Indisponível;14,7;TENNECO AUTOMOTIVE BRASIL LTDA.
110739;110739;2;Pc;B;36,7;TENNECO AUTOMOTIVE BRASIL LTDA.
110749;110749;2;Pc;B;31,89;TENNECO AUTOMOTIVE BRASIL LTDA.
110751;110751;2;Pc;A;25,26;TENNECO AUTOMOTIVE BRASIL LTDA.
110754;110754;1;Pc;B;23,92;TENNECO AUTOMOTIVE BRASIL LTDA.
110778;110778;2;Pc;A;17,93;TENNECO AUTOMOTIVE BRASIL LTDA.
110780;110780;2;Pc;Indisponível;9,36;TENNECO AUTOMOTIVE BRASIL LTDA.
110782;110782;2;Pc;Indisponível;32,13;TENNECO AUTOMOTIVE BRASIL LTDA.
110852;110852;2;Pc;Indisponível;26,37;TENNECO AUTOMOTIVE BRASIL LTDA.
110853;110853;2;Pc;Indisponível;26,13;TENNECO AUTOMOTIVE BRASIL LTDA.
110875;110875;2;Pc;Indisponível;34,55;TENNECO AUTOMOTIVE BRASIL LTDA.
110876;110876;2;Pc;Indisponível;30,13;TENNECO AUTOMOTIVE BRASIL LTDA.
110877;110877;2;Pc;Indisponível;33,48;TENNECO AUTOMOTIVE BRASIL LTDA.
110894;110894;2;Pc;A;20,09;TENNECO AUTOMOTIVE BRASIL LTDA.
110895;110895;2;Pc;B;14,57;TENNECO AUTOMOTIVE BRASIL LTDA.
110902;110902;2;Pc;Indisponível;20,39;TENNECO AUTOMOTIVE BRASIL LTDA.
110904;110904;2;Pc;A;25,28;TENNECO AUTOMOTIVE BRASIL LTDA.
110905;110905;2;Pc;A;31,33;TENNECO AUTOMOTIVE BRASIL LTDA.
111034;111034;2;Pc;Indisponível;23,12;TENNECO AUTOMOTIVE BRASIL LTDA.
111035;111035;2;Pc;B;38,05;TENNECO AUTOMOTIVE BRASIL LTDA.
111037;111037;2;Pc;A;40,33;TENNECO AUTOMOTIVE BRASIL LTDA.
111038;111038;2;Pc;C;18,99;TENNECO AUTOMOTIVE BRASIL LTDA.
111124;111124;2;Pc;Indisponível;37,31;TENNECO AUTOMOTIVE BRASIL LTDA.
111125;111125;2;Pc;B;34,5;TENNECO AUTOMOTIVE BRASIL LTDA.
111173;111173;2;Pc;A;30,4;TENNECO AUTOMOTIVE BRASIL LTDA.
111246;111246;2;Pc;B;97,85;TENNECO AUTOMOTIVE BRASIL LTDA.
111247;111247;2;Pc;C;39,08;TENNECO AUTOMOTIVE BRASIL LTDA.
111249;111249;2;Pc;C;23,48;TENNECO AUTOMOTIVE BRASIL LTDA.
111250;111250;2;Pc;Indisponível;52,23;TENNECO AUTOMOTIVE BRASIL LTDA.
111251;111251;2;Pc;A;47,82;TENNECO AUTOMOTIVE BRASIL LTDA.
111266;111266;2;Pc;B;27,51;TENNECO AUTOMOTIVE BRASIL LTDA.
111366;111366;2;Pc;A;107,48;TENNECO AUTOMOTIVE BRASIL LTDA.
111508;111508;2;Pc;C;40,73;TENNECO AUTOMOTIVE BRASIL LTDA.
111509;111509;2;Pc;A;45,03;TENNECO AUTOMOTIVE BRASIL LTDA.
111520;111520;2;Pc;B;44,59;TENNECO AUTOMOTIVE BRASIL LTDA.
111521;111521;2;Pc;A;23,04;TENNECO AUTOMOTIVE BRASIL LTDA.
111523;111523;2;Pc;Indisponível;40,07;TENNECO AUTOMOTIVE BRASIL LTDA.
111524;111524;2;Pc;B;62,33;TENNECO AUTOMOTIVE BRASIL LTDA.
111525;111525;2;Pc;A;35,46;TENNECO AUTOMOTIVE BRASIL LTDA.
111526;111526;2;Pc;B;51,52;TENNECO AUTOMOTIVE BRASIL LTDA.
111538;111538;1;Pc;Indisponível;22,54;TENNECO AUTOMOTIVE BRASIL LTDA.
111571;111571;2;Pc;A;85,84;TENNECO AUTOMOTIVE BRASIL LTDA.
111588;111588;4;Pc;A;8,12;TENNECO AUTOMOTIVE BRASIL LTDA.
111590;111590;2;Pc;C;25,54;TENNECO AUTOMOTIVE BRASIL LTDA.
111595;111595;4;Pc;B;12,46;TENNECO AUTOMOTIVE BRASIL LTDA.
111596;111596;2;Pc;B;57,94;TENNECO AUTOMOTIVE BRASIL LTDA.
111601;111601;2;Pc;B;21,75;TENNECO AUTOMOTIVE BRASIL LTDA.
111605;111605;2;Pc;A;13,54;TENNECO AUTOMOTIVE BRASIL LTDA.
111609;111609;2;Pc;Indisponível;26,75;TENNECO AUTOMOTIVE BRASIL LTDA.
111613;111613;2;Pc;A;24,69;TENNECO AUTOMOTIVE BRASIL LTDA.
111694;111694;2;Pc;Indisponível;16,06;TENNECO AUTOMOTIVE BRASIL LTDA.
111703;111703;2;Pc;A;18,98;TENNECO AUTOMOTIVE BRASIL LTDA.
111704;111704;2;Pc;B;35,75;TENNECO AUTOMOTIVE BRASIL LTDA.
111712;111712;2;Pc;B;52,64;TENNECO AUTOMOTIVE BRASIL LTDA.
111713;111713;2;Pc;B;56,7;TENNECO AUTOMOTIVE BRASIL LTDA.
111735;111735;2;Pc;B;26,52;TENNECO AUTOMOTIVE BRASIL LTDA.
111737;111737;2;Pc;A;28,49;TENNECO AUTOMOTIVE BRASIL LTDA.
