Filial;Produto;Descricao;NCM;Disponivel;Preco;Marca;Cód.Fabricante
2-SP;20087;COXIM DO MOTOR DIANT.                                                 ;40169990;> 20.00   ;38,68;JAHU PLACA PRETA              ;
2-SP;20100;SUPORTE VIDRO                                                         ;87082999;1;10,24;JAHU PLACA PRETA              ;
2-SP;20261;COXIM MOTOR (DIANT.)                                                  ;87089990;0;150,59;JAHU PLACA PRETA              ;
2-SP;20339;CANALETA DA PORTA DIANT. (C/PESTANA/FRISO)                            ;40082900;4;346,6;JAHU PLACA PRETA              ;
2-SP;20353;MANGUEIRA DO RADIADOR INF. (C/MOLA) (ORIG.)                           ;40091100;0;32,22;JAHU PLACA PRETA              ;
2-SP;20407;GUARNIÇÃO DO PARA-BRISA STAND.                                        ;40082900;10;90,08;JAHU PLACA PRETA              ;
2-SP;20506;GUARNICAO VIGIA (C/MACARRAO)                                          ;40082900;0;62,78;JAHU PLACA PRETA              ;
2-SP;20520;GUARNIÇÃO DO VIGIA                                                    ;40082900;2;104,88;JAHU PLACA PRETA              ;
2-SP;20537;GUARNIÇÃO DA JANELA LATERAL FIXA                                      ;40082900;10;78,73;JAHU PLACA PRETA              ;
2-SP;20575;MANGUEIRA DO RADIADOR SUP. (ORIG.)                                    ;40091100;9;39,54;JAHU PLACA PRETA              ;
2-SP;20582;MANGUEIRA DO RADIADOR INF. (C/MOLA) ORIG.                             ;40091100;4;44,29;JAHU PLACA PRETA              ;
2-SP;20599;MANGUEIRA DO RADIADOR INF. (ORIG.)                                    ;40093100;0;50,72;JAHU PLACA PRETA              ;
2-SP;20605;MANGUEIRA DO RADIADOR INF. (ORIG.)                                    ;40093100;0;48,15;JAHU PLACA PRETA              ;
2-SP;20612;MANGUEIRA DO RADIADOR SUP. (ORIG.)                                    ;40093100;6;26,88;JAHU PLACA PRETA              ;
2-SP;20629;MANGUEIRA DO RADIADOR SUP.                                            ;40091100;8;23,18;JAHU PLACA PRETA              ;
2-SP;20636;MANGUEIRA DO RADIADOR INF.(ORIG.)                                     ;40093290;0;51,48;JAHU PLACA PRETA              ;
2-SP;20650;MANGUEIRA DO RADIADOR INF. /CAIXA TERMOSTÁTICA                        ;40093100;0;56,9;JAHU PLACA PRETA              ;
2-SP;20674;MANGUEIRA DO RADIADOR SUP.                                            ;40091100;0;22,17;JAHU PLACA PRETA              ;
2-SP;20735;MAÇANETA DA PORTA INT. CROMADO                                        ;87082999;20;22,86;JAHU PLACA PRETA              ;
2-SP;20759;MANIVELA DO VIDRO DA PORTA CROMADO                                    ;87082999;11;25,49;JAHU PLACA PRETA              ;
2-SP;20889;FLEXÍVEL FREIO DIANT. (335MM)                                         ;59090000;0;21,47;JAHU PLACA PRETA              ;
2-SP;20933;GUARNIÇÃO DO PARA-BRISA (FRISO PLAST.)                                ;40082900;7;135,72;JAHU PLACA PRETA              ;
2-SP;20988;PESTANA PORTA DIANT. (EXT.ESQ./INT.DIR.)                              ;40082900;7;13,64;JAHU PLACA PRETA              ;
2-SP;20995;PESTANA PORTA DIANT. (EXT.DIR./INT.ESQ.)                              ;40082900;> 10.00   ;13,64;JAHU PLACA PRETA              ;
2-SP;21022;CAPA CARDAN (40MM)                                                    ;40169300;4;19,97;JAHU PLACA PRETA              ;
2-SP;21299;MANGUEIRA DO FILTRO DE AR /CARB. (ORIG.)                              ;40091100;4;215,23;JAHU PLACA PRETA              ;
2-SP;21374;MANGUEIRA DO FILTRO DE AR /CARB. (ORIG.)                              ;40093100;0;196,11;JAHU PLACA PRETA              ;
2-SP;21411;PESTANA PORTA DIANT. (EXT.DIR/INT.ESQ) C/FRISO                        ;40082900;0;22,22;JAHU PLACA PRETA              ;
2-SP;21428;PESTANA PORTA DIANT. (EXT.ESQ/INT.DIR) C/FRISO                        ;40082900;0;22,16;JAHU PLACA PRETA              ;
