,Price,Price,Price,Price,Price,Price,Price,Price,Price,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,sum_min_quantity
supplier,carbwel,ima,jahu,lucios,medauto,metal,real,rufato,sueyasu,carbwel,ima,jahu,lucios,medauto,metal,real,rufato,sueyasu,
key,,,,,,,,,,,,,,,,,,,
0,,,,,,0.0,,7.92,,,,,,,1.0,,1.0,,1.0
3rho310,0.0,,,36.05,,,,,0.0,2.0,,,56.0,,,,,28.0,2.0
3rho318,,,,58.48,,,,,0.0,,,,7.0,,,,,2.0,2.0
3rho319,0.0,,,41.9,,,,,0.0,2.0,,,8.0,,,,,6.0,2.0
3rho322,0.0,,,,,,,,0.0,1.0,,,,,,,,1.0,1.0
3rho323,0.0,,,,,,,,0.0,1.0,,,,,,,,7.0,1.0
3rho324,0.0,,,,,,,,0.0,1.0,,,,,,,,2.0,1.0
3rho330,,,,34.48,,,,,0.0,,,,22.0,,,,,18.0,18.0
3rho3300,0.0,,,30.81,,,,,,1.0,,,1.0,,,,,,1.0
3rho3303,,,,45.05,,,,,0.0,,,,27.0,,,,,7.0,7.0
3rho3306,,,,,0.0,,,,0.0,,,,,4.0,,,,4.0,4.0
3rho3307,0.0,,,,0.0,,,,0.0,1.0,,,,1.0,,,,4.0,1.0
3rho3308,0.0,,,79.41,,,,,0.0,4.0,,,3.0,,,,,5.0,4.0
3rho3315,0.0,,,38.61,,,,,0.0,1.0,,,15.0,,,,,5.0,1.0
3rho3316,0.0,,,77.44,0.0,,,,0.0,2.0,,,20.0,2.0,,,,2.0,2.0
3rho3321,0.0,,,33.18,,,,,,1.0,,,11.0,,,,,,1.0
3rho3322,,,,30.37,,,,,0.0,,,,3.0,,,,,3.0,3.0
3rho3324,0.0,,,30.57,,,,,0.0,3.0,,,15.0,,,,,3.0,3.0
3rho3328,,,,37.9,,,,,0.0,,,,2.0,,,,,5.0,5.0
3rho3334,0.0,,,33.89,,,,,0.0,4.0,,,48.0,,,,,14.0,4.0
3rho3335,,,,32.36,,,,,0.0,,,,4.0,,,,,10.0,10.0
3rho334,0.0,,,64.94,,,,,0.0,1.0,,,3.0,,,,,4.0,1.0
3rho3342,,,,43.08,,,,,0.0,,,,1.0,,,,,6.0,6.0
3rho3343,,,,,0.0,,,,0.0,,,,,5.0,,,,5.0,5.0
3rho3344,0.0,,,32.3,,,,,0.0,4.0,,,2.0,,,,,7.0,4.0
3rho3345,0.0,,,31.55,,,,,0.0,2.0,,,15.0,,,,,5.0,2.0
3rho3346,0.0,,,30.26,,,,,0.0,16.0,,,286.0,,,,,5.0,5.0
3rho335,0.0,,,91.94,,,,,0.0,1.0,,,2.0,,,,,3.0,1.0
3rho3351,0.0,,,36.98,,,,,0.0,7.0,,,78.0,,,,,2.0,2.0
3rho3352,0.0,,,36.66,,,,,0.0,4.0,,,11.0,,,,,2.0,2.0
3rho3357,0.0,,,33.4,,,,,0.0,3.0,,,14.0,,,,,3.0,3.0
3rho3358,0.0,,,,,,,,0.0,2.0,,,,,,,,2.0,2.0
3rho336,0.0,,,,,,,,0.0,4.0,,,,,,,,3.0,3.0
3rho3360,0.0,,,42.39,,,,,0.0,1.0,,,5.0,,,,,5.0,1.0
3rho3361,,,,33.24,,,,,0.0,,,,5.0,,,,,6.0,6.0
3rho3365,0.0,,,,,,,,0.0,1.0,,,,,,,,2.0,1.0
3rho3369,0.0,,,31.16,,,,,0.0,5.0,,,102.0,,,,,6.0,5.0
3rho3370,0.0,,,32.63,,,,,0.0,5.0,,,40.0,,,,,9.0,5.0
3rho3371,,,,32.67,,,,,0.0,,,,16.0,,,,,2.0,2.0
3rho3372,0.0,,,30.52,,,,,0.0,5.0,,,134.0,,,,,11.0,5.0
3rho3373,0.0,,,31.49,,,,,0.0,1.0,,,15.0,,,,,18.0,1.0
3rho3374,0.0,,,30.76,,,,,0.0,8.0,,,183.0,,,,,5.0,5.0
3rho3375,0.0,,,56.55,,,,,0.0,2.0,,,11.0,,,,,3.0,2.0
3rho3376,0.0,,,43.5,,,,,0.0,4.0,,,23.0,,,,,6.0,4.0
3rho3378,0.0,,,30.6,,,,,0.0,2.0,,,3.0,,,,,6.0,2.0
3rho3379,0.0,,,33.0,,,,,,1.0,,,1.0,,,,,,1.0
3rho3380,0.0,,,30.65,,,,,0.0,4.0,,,17.0,,,,,5.0,4.0
3rho3381,0.0,,,30.65,,,,,0.0,2.0,,,9.0,,,,,6.0,2.0
3rho3382,0.0,,,57.44,,,,,0.0,3.0,,,17.0,,,,,6.0,3.0
3rho3383,0.0,,,56.48,,,,,0.0,2.0,,,10.0,,,,,1.0,1.0
3rho3384,0.0,,,30.65,,,,,0.0,5.0,,,20.0,,,,,2.0,2.0
3rho3385,0.0,,,39.82,,,,,0.0,6.0,,,3.0,,,,,6.0,6.0
3rho3387,0.0,,,33.15,,,,,0.0,7.0,,,102.0,,,,,17.0,7.0
3rho3389,0.0,,,44.0,,,,,0.0,3.0,,,2.0,,,,,3.0,3.0
3rho3396,0.0,,,44.0,,,,,0.0,2.0,,,45.0,,,,,8.0,2.0
3rho3397,0.0,,,33.71,,,,,,4.0,,,11.0,,,,,,4.0
