Manufacturer,Price
 METAL,1265.1100000000001
+METAL - QUALIDADE ORIGINAL,86420.26000000007
+METAL - QUALIDADE ORIGINAL 8634,5136.7699999999995
+METAL - QUALIDADE ORIGINAL 9145,55878.429999999986
+METAL - QUALIDADE ORIGINAL 9146,27360.11
+METAL - QUALIDADE ORIGINAL 9164,18842.089999999997
+METAL-QUALIDADE ORIGINAL 9471,8146.74
11OSCH,51813.12
11ROSOL,2579.9699999999993
12M,1781.6952099999996
2M PLASTIC,5266.759999999998
2MC,322.79
3 RHO,13131.314534999994
3-RHO,17557.583599999994
3B,503.72
3M,116.64
3M - SEGVEL,20.90686
3P IND. E COM. DE PLASTICO LTDA.,3400.18
3R RUBBER MANUFACTURING IND.E COM.LTDA,17396.209999999995
3RHO,9203.14
4 J E,3056.86
4PLIC,9375.499999999998
4TE FREIOS,9803.340000000002
4X4,2278.8199999999997
4XIOS,15351.019999999999
ABP FLEX,646.4900000000001
ABRATEC,45.21000000000001
ACESSORIOS,719.4100000000001
ACRILUX,3903.600000000005
ACRINOX,241.85000000000002
ACRO CABOS,7.2
ADACOPLAM,25777.831934999995
ADELMAR IND PÇS,90.69999999999999
AEQUIPE,46.4
AGEL ANEIS,100.961028
AGUIA,84.44
AGUIREIS PRODUTOS PLASTICOS LTDA.,1805.2299999999998
AJE,20996.630000000026
AJUSA,509.77
ALBARUS,960.1
ALBARUS INDUSTRIA E COMERCIO S/A,6.69
ALLEN,685.4200000000001
ALLI,12566.359694979996
ALMAPY AUTOMOTIVE,10174.319999999998
ALMEIDA E MARCONI IND. COM. DE PEÇAS AUTOMOTIVAS LTDA ME,248.76000000000002
ALPENFIX,777.1399999999999
ALPHA SENSORES,5619.905294999999
ALUMIPARTS,2040.32
ALVARCO,407.859816
AMALCABURIO,7330.051564
AMG,533.0999999999995
AMOSTRA,0.19000000000000003
AMP INDUSTRIA E COMERCIO DE PECAS AUTOMOTIVAS LTDA,15553.51
AMPRI,43575.064281
AMS,611.75
AMS EMPRESA DE COMP ELETRICOS LTDA,1050.41
ANDORINHA,1676.5700000000002
ANGELO & DOUGLAS ESTAMPARIA,786.6499999999999
ANGRA,191.3
ANHEMBI,7561.459999999998
ANPADEVA,421.1201319999998
ANROI,7419.919999999999
APEX,2458.3700000000003
APLIC,9336.75797
APOLO,448.88000000000005
ARBIM PÇS,206.8
ARCA RETENTORES,3377.571283
ARPE,52.45825
ARTEB,1470.0
ARTMOLD,4977.719999999997
ASH,697.5300000000001
ATE,6479.549999999999
ATEL,32.0
ATEMIS,14059.39000000001
ATLAS,238.23
ATV,2912.210000000001
AUTHO MIX,1117.51
AUTIMPEX,3273.9496520000002
AUTO COIFAS IND.E COM.LTDA EPP,363.08000000000004
AUTO GIRHO'S,175.5
AUTO LINEA,40451.48448
AUTO POLI,898.3699999999998
AUTO SHINNE,65.99000000000001
AUTO STAR,8492.019999999999
AUTOAMERICA,29.9
AUTOBRAS,736.44
AUTOLUC,146.68
AUTOLUC ALUMINIO,3389.1800000000003
AUTOLUC ALUMINIO III,6309.48
AUTOLUC AMORT.PORTA MALAS I,5979.559999999998
AUTOLUC AMORT.PORTA MALAS III,28.58
AUTOLUC ANEL SINCR.,175.32
AUTOLUC BANDEJAS,8508.260000000002
AUTOLUC BARRA ESTAB.,1018.5
AUTOLUC BUJAO CONICO,19.37
AUTOLUC CABO BATERIA,815.0500000000001
AUTOLUC CABO TRANSF.,21.69
AUTOLUC CALOTAS CUBO,92.93
AUTOLUC CANO DE FREIO,627.6299999999999
AUTOLUC CAPA DE CORREIA II,1112.98
AUTOLUC CARCAÇAS II,333.84999999999997
AUTOLUC COXIM ESCAPAMENTO,735.7399999999999
AUTOLUC COXINS V,93.08
AUTOLUC FUSIVEL II,163.36
AUTOLUC KIT A.CAMBIO,2123.58
AUTOLUC KIT.CARB.,73.08
AUTOLUC KITS AMORTECEDORES III,12706.160000000002
AUTOLUC KITS II,5566.24
AUTOLUC LAMPADAS,529.56
AUTOLUC MANG RESPIRO,699.02
AUTOLUC MANG.ALUMINIO,2301.5600000000004
AUTOLUC MANG.PLAST.,38.52
AUTOLUC MANG.SILICONADA,11.43
AUTOLUC PARAF.I,483.69999999999993
AUTOLUC PARAF.II,16.35
AUTOLUC PARAF.III,1407.1399999999999
AUTOLUC PARAF.RODA,79.24
AUTOLUC PRATO.AMORTE,51.169999999999995
AUTOLUC PRISIONEIROS,3.3
AUTOLUC REPAROS III,1323.8
AUTOLUC ROL.COL.DIR.,101.03
AUTOLUC SUPORTES,823.04
AUTOLUC TRAMBULADOR II,3627.5699999999997
AUTOLUC TRIZETAS,41.93
AUTOLUC VAL.EQUALIZ.,755.0300000000001
AUTOLUC VARETAS/SELO,1828.1600000000003
AUTOLUC VEDAÇÕES III,24.310000000000002
AUTOMANCE,123.81
AUTOMORTEX,636.73
AUTOMOTIVE BANDEJAS,132.42
AUTOPLAST,455.18
AUTOSTAR,70546.99999999999
AUTOSTAR AFA,26826.099999999995
AUTOTEC,6801.12
AUTOTRAX,221.55
AUTRON,681.91
AXIOS,85975.158286
B.R.W. & F. COM. E REPRES. LTDA,12141.86
B.S.B,997.1299999999999
BANDEJAS IMPORTADAS J,0.0
BARDAHL,711.19
BASTOS JUNTAS,69826.79999999999
BATATAIS,17439.97571
BCR INDUSTRIA E COMERCIO  DE ARTEFATOS DE BORRACHAS LTDA,10917.879999999996
BELCRAN PARTS AUTOMOTIVE,711.13
BELLA NEW INDUSTRIA E COMERCIO DE FERRAMENTAS LTDA,18.499999999999996
BEPO,3815.4095700000003
BERGSOM,134.23000000000002
BERTACHINI,57.016360000000006
BEST GERMANY,176.26000000000002
BFS,240.57
BFX PEÇAS AUTOMOTIVAS EIRELLI,36579.58000000002
BIAGIBOR,879.5100000000002
BIAGIO TURBOS,32399.574608
BILBAO,860.5999999999999
BINS,1153.04666
BIRK,93.25999999999999
BIRTH,113194.45999999998
BK AUTO PEÇAS INDUSTRIA E COMERCIO LTDA,1785.2699999999998
