Manufacturer,Quantity
 METAL,37.0
+METAL - QUALIDADE ORIGINAL,559.0
+METAL - QUALIDADE ORIGINAL 8634,54.0
+METAL - QUALIDADE ORIGINAL 9145,466.0
+METAL - QUALIDADE ORIGINAL 9146,159.0
+METAL - QUALIDADE ORIGINAL 9164,73.0
+METAL-QUALIDADE ORIGINAL 9471,52.0
11OSCH,4165.0
11ROSOL,352.0
12M,177.0
2M PLASTIC,3004.0
2MC,30.0
3 RHO,2644.0
3-RHO,1878.0
3B,45.0
3M,35.0
3M - SEGVEL,7.0
3P IND. E COM. DE PLASTICO LTDA.,118.0
3R RUBBER MANUFACTURING IND.E COM.LTDA,385.0
3RHO,298.0
4 J E,1234.0
4PLIC,354.0
4TE FREIOS,1047.0
4X4,39.0
4XIOS,3335.0
ABP FLEX,71.0
ABRATEC,7.0
ACESSORIOS,45.0
ACRILUX,931.0
ACRINOX,314.0
ACRO CABOS,4.0
ADACOPLAM,143.0
ADELMAR IND PÇS,44.0
AEQUIPE,1.0
AGEL ANEIS,15.0
AGUIA,3.0
AGUIREIS PRODUTOS PLASTICOS LTDA.,32.0
AJE,3350.0
AJUSA,4.0
ALBARUS,12.0
ALBARUS INDUSTRIA E COMERCIO S/A,0.0
ALLEN,4.0
ALLI,179.0
ALMAPY AUTOMOTIVE,143.0
ALMEIDA E MARCONI IND. COM. DE PEÇAS AUTOMOTIVAS LTDA ME,6.0
ALPENFIX,271.0
ALPHA SENSORES,201.0
ALUMIPARTS,2.0
ALVARCO,4.0
AMALCABURIO,20.0
AMG,2269.0
AMOSTRA,1471.0
AMP INDUSTRIA E COMERCIO DE PECAS AUTOMOTIVAS LTDA,0.0
AMPRI,64.0
AMS,42.0
AMS EMPRESA DE COMP ELETRICOS LTDA,33.0
ANDORINHA,485.0
ANGELO & DOUGLAS ESTAMPARIA,9.0
ANGRA,13.0
ANHEMBI,462.0
ANPADEVA,893.0
ANROI,52.0
APEX,74.0
APLIC,100.0
APOLO,13.0
ARBIM PÇS,3.0
ARCA RETENTORES,841.0
ARPE,22.0
ARTEB,55.0
ARTMOLD,6534.0
ASH,21.0
ATE,159.0
ATEL,4.0
ATEMIS,287.0
ATLAS,45.0
ATV,45.0
AUTHO MIX,92.0
AUTIMPEX,32.0
AUTO COIFAS IND.E COM.LTDA EPP,22.0
AUTO GIRHO'S,4.0
AUTO LINEA,9.0
AUTO POLI,1925.0
AUTO SHINNE,335.0
AUTO STAR,117.0
AUTOAMERICA,7.0
AUTOBRAS,6.0
AUTOLUC,1.0
AUTOLUC ALUMINIO,78.0
AUTOLUC ALUMINIO III,124.0
AUTOLUC AMORT.PORTA MALAS I,1184.0
AUTOLUC AMORT.PORTA MALAS III,0.0
AUTOLUC ANEL SINCR.,16.0
AUTOLUC BANDEJAS,14.0
AUTOLUC BARRA ESTAB.,260.0
AUTOLUC BUJAO CONICO,275.0
AUTOLUC CABO BATERIA,346.0
AUTOLUC CABO TRANSF.,173.0
AUTOLUC CALOTAS CUBO,1415.0
AUTOLUC CANO DE FREIO,2194.0
AUTOLUC CAPA DE CORREIA II,289.0
AUTOLUC CARCAÇAS II,104.0
AUTOLUC COXIM ESCAPAMENTO,8719.0
AUTOLUC COXINS V,72.0
AUTOLUC FUSIVEL II,10227.0
AUTOLUC KIT A.CAMBIO,1699.0
AUTOLUC KIT.CARB.,4.0
AUTOLUC KITS AMORTECEDORES III,845.0
AUTOLUC KITS II,7130.0
AUTOLUC LAMPADAS,685.0
AUTOLUC MANG RESPIRO,335.0
AUTOLUC MANG.ALUMINIO,545.0
AUTOLUC MANG.PLAST.,6450.0
AUTOLUC MANG.SILICONADA,1900.0
