Manufacturer,Quantity
2M PLASTIC,2
3 RHO,16
3-RHO,8
AJE,20
APEX,1
AUTOLUC ALUMINIO,1
AUTOLUC ALUMINIO III,6
AUTOLUC AMORT.PORTA MALAS I,6
AUTOLUC AMORT.PORTA MALAS III,1
AUTOLUC BANDEJAS,44
AUTOLUC CABO BATERIA,2
AUTOLUC CALOTAS CUBO,2
AUTOLUC CANO DE FREIO,5
AUTOLUC CARCAÇAS II,1
AUTOLUC COXIM ESCAPAMENTO,4
AUTOLUC FUSIVEL II,7
AUTOLUC KIT A.CAMBIO,5
AUTOLUC KITS AMORTECEDORES III,21
AUTOLUC KITS II,18
AUTOLUC LAMPADAS,2
AUTOLUC MANG RESPIRO,11
AUTOLUC MANG.ALUMINIO,1
AUTOLUC PARAF.I,4
AUTOLUC PARAF.III,7
AUTOLUC PARAF.RODA,2
AUTOLUC PRATO.AMORTE,1
AUTOLUC REPAROS III,4
AUTOLUC SUPORTES,2
AUTOLUC TRAMBULADOR II,3
AUTOLUC VARETAS/SELO,28
AUTOSTAR,70
AUTOTEC,1
AXIOS,2
BOSCH,214
BRASMECK,26
CAUPLAS,67
CECCARELLI,33
COBREQ,1
CONTITECH 2,163
CONTROIL II,78
D.S. SCHIAVETTO,162
DELCO REMY,46
DYNA,7
DYNA                          ,19
ECOPADS,2
ELPER,35
EQUILIBRIO,3
FANIA,37
FLORIO,14
FORTEC II,37
GAUSS,71
GONEL,7
GRAZZIMETAL,6
HIPPER FREIOS,29
IKRO,73
IKS,99
IMA,16
INDISA II,84
INPECA 2,2
IRB,6
IRB CUBOS,20
IRB ROLAMENTOS,1
JAHU PLACA PRETA              ,302
KATHO,1
KOSTAL,29
LION,52
LOCTITE,12
LUK,3
MAGNETI MARELLI,1
MARILIA,7
MAXAUTO,1
MECARM,1
MET4L LEVE,2
METAL DS,7
METAL LEVE,1
MOBENSANI,28
MONROE                        ,296
MTE THOMSON,63
NAKATA,1
NGK,2
NIDEC,11
NORFLEX V,33
NOTUS II,6
OLIMPIC,26
ORIGINAL KIT,29
ORIGINAL KIT II,10
ORIGINAL KIT III,21
OSPINA,14
OSRAM,9
POWER STOP,11
RADNAQ II,10
RANALLE II,51
RF,8
RIKKOPARTS,16
S411O,1
SABÓ,1
SAMPEL,2
SEG AUTOMOTIVE,5
SHANA,14
SUPRENS,1
SYL,8
TAKAO,2
TANCLICK,9
TANCLICK TAMPAS,1
TARANTO,214
TC CHICOTES,80
TECHNOPAR III,25
TEKBOND,12
TERMOSINTER,9
TRALI III,6
TRIADE,11
TSA,48
TYC,2
UNIFAP,12
UNIVERSAL/UNICK/AUTOMORTEX,1
VALCLEI,201
VALEO,30
VETOR AUTOMOTIVOS,63
VIBRASIL,26
VIEMAR,3
VOGEL II,16
WEGA,37
ZEN,60
ZM,87
