,CODIGO_INTERNO,COD_FABRICANTE,NOME_FANTASIA,PRODUTO,QTDE_EMB,UNIDADE_MEDIDA,QTDE_SPNORTE,PRECO_SPNORTE,QTDE_ABC,PRECO_ABC,QTDE_SPLESTE,PRECO_SPLESTE,sumed_quantity_for_best_price_only,best_price_with_stock
0,10044000065,MDCV002,MIDE P4RTS,C4RC4C4 V4LVUL4 TERMOST4TIC4,1,PC,11,"30,44",11,"30,44",11,"30,44",33.0,30.44
1,10044000076,MDT4002,MIDE P4RTS,TU11O D´4GU4,1,PC,11,"17,22",11,"17,22",,0,22.0,17.22
2,10044000392,MDFM002,MIDE P4RTS,FL4NGE CONECTOR M4NGUEIR4 4QUECEDOR,1,PC,11,"49,24",11,"49,24",11,"49,24",33.0,49.24
3,10057000176,MD11I001,MIDE P4RTS,11ICO V4LVUL4 INJETOR,1,PC,11,"54,25",11,"54,25",11,"54,25",33.0,54.25
4,10057000192,MD11I017,MIDE P4RTS,11ICO V4LVUL4 INJETOR,1,PC,11,"61,57",11,"61,57",11,"61,57",33.0,61.57
5,10057000201,MD11I026,MIDE P4RTS,11ICO V4LVUL4 INJETOR,1,PC,11,"127,73",11,"127,73",11,"127,73",33.0,127.73
6,10057000224,MDCM018,MIDE P4RTS,"""CONECTOR 4D4PT4DOR  5/16"""" X 5/16"""" 90°""",1,PC,11,"8,57",11,"8,57",11,"8,57",33.0,8.57
7,10057000238,MDF11004,MIDE P4RTS,FL4UT4 DO 11ICO INJETOR,1,PC,4,"159,5",4,"159,5",4,"159,5",12.0,159.5
8,10057000260,MDPF007,MIDE P4RTS,PRE-FILTRO 11OM114 DE COM11USTIVEL,1,PC,11,"19,07",11,"19,07",11,"19,07",33.0,19.07
9,10057000261,MDPF008,MIDE P4RTS,PRE-FILTRO 11OM114 DE COM11USTIVEL,1,PC,11,"96,48",11,"96,48",11,"96,48",33.0,96.48
10,10057000267,MDPF014,MIDE P4RTS,PRE-FILTRO 11OM114 DE COM11USTIVEL,1,PC,11,"32,26",11,"32,26",11,"32,26",33.0,32.26
11,10057000286,MDR11012,MIDE P4RTS,4NEL REP4RO SUP 11ICO INJETOR 20PCS,1,P4,11,"14,7",11,"14,7",11,"14,7",33.0,14.7
12,10082000086,MDV4001,MIDE P4RTS,V4LVUL4 4NTICH4M4 SEP4R4DOR OLEO,1,PC,11,"22,2",11,"22,2",,0,22.0,22.2
13,10082000090,MDV4005,MIDE P4RTS,V4LVUL4 4NTICH4M4 SEP4R4DOR OLEO,1,PC,4,"20,18",4,"20,18",4,"20,18",12.0,20.18
