,0
0,FRISART
1,SANFIL
2,BRANIL
3,
4,GATES
5,ELASTOFLOCK INDUSTRIA E COMERCIO DE ARTEFATOS DE BORRACHAS
6,LCP
7,NEO
8,BORRACHAS DAUD LTDA.
9,PROBOR DO BRASIL BORRACHAS LTDA.
10,SANOFRIS
11,BIRTH
12,MDS
13,NEVESCAR
14,MOLAS MASTER
15,SYL INDUSTRIAL DISCOS
16,RONIL
17,MOLAS TIGRE
18,CINDUMEL
19,PLANET IMPORT´S COM DE PECAS LTDA EPP
20,EICHUT IND. E COMERCIO LTDA
21,METALURGICA VALE VERDE
22,GRAMPOLA
23,INPARTS
24,HOLYMAN
25,DURAKIT
26,QUATRO X QUATRO & IMPORTADO (4 X 4)
27,FERISA IND. E COM. LTDA.
28,RUFATO DISTRIBUIDORA
29,RECIFLEX
30,TANTARO
31,ELASTOPUR
32, METAL
33,NAIR/REPLABOR
34,RUK/WRK
35,DEFABRI
36,ORIGINAL KIT
37,YIMING PARTS
38,DAYCO
39,PERFECT
40,CONTINENTAL
41,TRUCK
42,AUTOPLAST
43,RAS
44,STAMPFER
45,RONA
46,VIEMAR
47,BRAKEPARTS INDUSTRIA COM.IMP.EXP.LTDA
48,SYL
49,RODOCAR
50,UNIVERSAL
51,AUTOSTAR AFA
52,VGER
53,DELPHI AUTOMOTIVE SYSTEMS DO BRASIL LTDA
54,GRAZZIMETAL
55,B.R.W. & F. COM. E REPRES. LTDA
56,SAX AUTOMOTIVE
57,FECT
58,VOBER INDUSTRIA E COMERCIO LTDA
59,POLYCAR
60,FORJARIA & ESTAMPARIA CARAVAGGIO LTDA.
61,ZAADA METAIS LTDA. EPP
62,ORI TRUCK
63,CARMAG
64,BRW& KITS ESTABILIZADOR
65,PYSKO COMERCIO
66,CORTECO
67,LED MANG
68,PLAST CAR
69,RUBBER DUTRA COMÉRCIO DE MANGUEIRAS EIRELI - EPP
70,GV PLASTIC
71,ANGRA
72,G RHEDER
73,GNR
74,PLR
75,MONTEMOR INDUSTRIA DE BORRACHA LTDA
76,CESARBOR COMERCIO DE ARTEFATOS DE BORRACHA
77,BMA BORRACHAS MONTE ALTO LTDA.
78,LUMA FLEX
79,VRM
80,ATV
81,OFEM
82,GUINNER INDUSTRIA DE PLASTICOS LTDA
83,SUPEÇAS IND. DE BORRACHAS
84,VERPAUTO IND. E COM. DE PEÇAS PARA AUTOS LTDA.
85,HENRISAN IND. E COM. DE ARTEF. DE PLASTICO LTDA.
86,SILVATRIM
87,IRMAOS NERI
88,VIBRASIL
89,APOLO
90,KAUTO
91,DIAB INDUSTRIA E COM. E SERV. DE AUTO PECAS LTDA.
92,SAMPEL
93,BCR INDUSTRIA E COMERCIO  DE ARTEFATOS DE BORRACHAS LTDA
94,CECCARELLI
95,ALPENFIX
96,AXIOS
97,NOLIFLEX IND. E COM. DE ARTEFATOS DE BORRACHA LTDA. ME
98,SUSPEX
99,TALIFAMA
100,LT INDUSTRIA E COMERCIO LTDA
101,KPA
102,ATEMIS
103,ABRATEC
104,DAV BOR LTDA
105,MATILBOR INDUSTRIA DE ARTEFATOS DE BORRACHAS
106,PROSPAR IND. DE PARAFUSOS
107,ITAP
108,PRISCAR
109,VM INDUSTRIA DE AUTO PECAS LTDA
110,MINAS CAR INDUSTRIA E COMERCIO DE PRODUTOS AUTOMOTIVOS LTDA
111,METALMATRIX INDUSTRIA METALURGICA LTDA
112,BELLA NEW INDUSTRIA E COMERCIO DE FERRAMENTAS LTDA
113,GLOBAL AUTOPARTS COMPONENTES AUTOMOTIVOS EIRELLI
114,RPD BORRACHAS
115,WELLINGTON
116,PENTAGONO
117,RUBBER GATTI ARTEFATOS DE BORRACHAS LTDA
118,PIFFER
119,IAPI INDU E COM
120,HAFIZ
121,ADACOPLAM
122,MOBENSANI
123,WORLDFLEX IND. E COM. DE PECAS AUTOMOTIVAS
124,MESF
125,FLEXBORRACHA INDUSTRIA E COMERCIO EIRELI
126,FORTKIT
127,TAS IMPORTACAO E EXPORTACAO DE AUTO PECAS
128,CAUPLAS
129,ALMAPY AUTOMOTIVE
130,BK AUTO PEÇAS INDUSTRIA E COMERCIO LTDA
131,SAMYPARTS COMPONENTES AUTOMOTIVOS EIREILI - ME
132,VEC DISTR AUTOMOTIVA
133,DRAGON INJEÇÃO DE TERMOPLASTICOS EIRELI EPP
134,CTX COMERCIO E DISTRIBUIDORA DE AUTO PEÇAS EIRELLI
135,W. ZANONI
136,DHF
137,ISBAL
138,KRJ METAIS IND. COM LTDA.
139,BRIM
140,LSI INDUSTRIA E COMERCIO
141,ORI
142,TRINK
143,B.S.B
144,O.L.M (NORFLEX)
145,RE9BOR INDUSTRIA E COMERCIO DE ARTEFATOS DE BORRACHA
146,ZP INDUSTRIA E COMERCIO DE PEÇAS LTDA.
147,TOP FORGED COM. ELETRONICO DE PEÇAS AUTOMOTIVAS (PARTNERS)
148,KMM
149,IDEAL PARTS
150,REMI PEÇAS AUTOMOTIVAS
151,D PAULA
152,NYTRON
153,NF PLASTICOS
154,SO-LOPES METALURGICA AUTOMOTIVA
155,TRALI
156,NASTROFIX
157,BIAGIBOR
158,TOWER PARTS (IGASA)
159,HELI-TECH METALURGICA
160,MODEFER
161,AJE
162,AGUIREIS PRODUTOS PLASTICOS LTDA.
163,MELO S
164,EMBLEMAX METALMAX PARAFUSOS
165,FRANAB
166,PTP
167,DOFAB
168,GUEPARTS IND.COM.DE PEÇAS LTDA
169,JULES RIMET
170,GMI
171,DSC
172,G.P CANTELMO
173,FACOBRAS IND. COM. LTDA
174,J BRASIL
175,GIAP
176,GUARAUTO INDUSTRIA E COMERCIO LTDA
177,ESCAPEMAX
178,STEEL BLANK
179,CRISFA
180,KAISA INDUSTRIA E COMERCIO LTDA
181,BRK BRASIL KITS COMPONENTES AUTOMOTIVOS
182,3P IND. E COM. DE PLASTICO LTDA.
183,ORAPLAS
184,EXPEDITUBO
185,PELOIAS
186,FINDER INDUSTRIA DE AUTOPEÇAS
187,METALURGICA BRX LTDA.
188,MARVINI RESERVATORIOS
189,FLORIO
190,FORTEC
191,RIKKOPARTS
192,MG FREIOS INDUSTRIA E COMERCIO DE AUTO PEÇAS LTDA.
193,AMPRI
194,ABP FLEX
195,GL VICENTINI
196,ESTAMPARIA PAULISTA IND. COM. LTDA. EPP
197,ZINNI & GUELL
198,ENGEPARTS METALURGICA LTDA.
199,GRARRO
200,EXPEDIBOR
201,DAYTRON INDUSTRIA E COMERCIO PEÇAS AUTOMOTIVAS LTDA.
202,TENACITY
203,NAT
204,GRANBEK INDUSTRIA E COMERCIO DE AUTO PECAS
205,ANGELO & DOUGLAS ESTAMPARIA
206,DISTRIBUIDORA DE AUTO PEÇAS P/ AUTO ANHEMBI LTDA
207,INDUSPARTES
208,IMA
209,AUTOBRAS
210,USIPACK IND COMERCIO LTDA.
211,GETOFLEX
212,IKS
213,STAMPJET
214,NEOMAT INDUSTRIA E COMERCIO DE MATERIAIS - EIRELLI
215,BILBAO
216,LAV COMERCIO DE AUTO PEÇAS EIRELLI
217,KARKIT COMERCIO DE COMPONENTES AUTOMOTIVOS LTDA
218,COFAP
219,CRDR INDUSTRIA E COMERCIO DE ARTEFARTOS DE BORRACHA LTDA.
220,VALLIFLEX PRODUTOS TECNICOS DE BORRACHA LTDA
221,MICPART'S
222,INGERFLEX INDÚSTRIA E COMÉRCIO DE PEÇAS AUTOMOTIVAS LTDA - M
223,DYPPER INDUSTRIA E COMERCIO DE PEÇAS AUTOMOTIVAS LTDA - ME
224,DELAIKA COMERCIAL LTDA - ME
225,ISIS BORRACHAS
226,PMC AUTO PECAS LTDA
227,CENTROFLEX
228,ALMEIDA E MARCONI IND. COM. DE PEÇAS AUTOMOTIVAS LTDA ME
229,JF INDUSTRIA E COMERCIO DE ELASTOMEROS LTDA
230,PESSA PEÇAS
231,VENON DISTRIBUIDORA DE PEÇAS LTDA
232,BRASIBOR
233,TOP MIX
234,VALCLEI
235,LION POLIMERS INDUSTRIA (NSO)
236,3R RUBBER MANUFACTURING IND.E COM.LTDA
237,MARCON IND.E COM. PRODUTOS DE BORRACHA
238,JAMAICA
239,SUN SPECIAL COM E REPRESENTAÇAO
240,DEBOR AUTOPEÇAS DO BRASIL EIRELLI
241,FLANACAR COMERCIO DE AUTO
242,V-PLAST
243,CONTITEC ELITE
244,HUTCHINSON
245,AUTO GIRHO'S
246,BUGARELO COMERCIO E INDUSTRA LTDA
247,RF IND. E COM. DE TELAS
248,NETZEL INDUSTRIA E COMERCIO DE AUTO PEÇAS LTDA.
249,SHEIKFLEX BORRACHAS LTDA
250,TECNOYAN DISTRIBUIDORA SERVIÇOS EIRELLI
251,TRIADE
252,TPA DISTRIBUIDORA DE AUTO PEÇAS EIRELLE - ME
253,BROGLIPLAST
254,BELCRAN PARTS AUTOMOTIVE
255,MANGOTEX
256,DHEMES AUTOMOTIVA
257,TCB
258,MUNDY
259,DIALIMPORT
260,HOPEBOR AUTO PARTS
261,PIAVE INDUSTRIA E COMERCIO LTDA.
262,DMX BRASIL INDUSTRIA E COMERCIO LTDA
263,WISA COMERCIO E INDUSTRIA DE AUTOPEÇAS LTDA - ME
264,STOUT RUBBER
265,LUIZ ANTONIO MARTINS FERRAMENTAS ME
266,EIGHT BRAZIL PAIPE
267,ESTHIM
268,SANFRIS
269,RODDIAS COMERCIAL LTDA ME
270,FORI INDUSTRIA
271,ZTL DO BRASIL COMERCIO EXTERIOR LTDA. (ROLAMENTOS)
272,ECOPADS
273,WBOUR PEÇAS AUTOMOTIVAS
274,JEPAFLEX IND. E COM. DE ARTEFATOD DE BORRACHA LTDA-ME.
275,PARTFLEX - COMERCIO DE PECAS AUTOMOTIVAS EIRELI - ME
276,JC IND.COM.DE COIFAS LTDA
277,KAISA
278,WESTAFLEX
279,ROLAMENTOS FLAM
280,SIDMEC
281,GONEL
282,COMERCIAL E INDUSTRIAL METAL RUBBER AUTO PEÇAS LTDA
283,LUCIFLEX
284,HAHMANN
285,INDUSTRIAS DEL RECAMBIO BRASIL
286,DEVIGILI & VARITY COMERCIO E EXPORTAÇÃO LTDA
287,DDA DESENV. E DISTR. DE PROD. AUTOMOTIVOS
288,ANDORINHA
289,STOCK AIG
290,VILA FRANCA
291,IRB UNIKE
292,MUSTER AUTO PARTS WHOLESALE REPRESENTACOES EIRELI
293,GRANT COMERCIAL
294,TECHCAR
295,FREMAX
296,KATHO AUTO PARTES
297,AUTO COIFAS IND.E COM.LTDA EPP
298,IPO
299,MONROE AXIOS
300,BFX PEÇAS AUTOMOTIVAS EIRELLI
